recall,ef,time
0.90023,159,4920460814
0.90023,159,4986189104
0.90023,159,4956105814
0.90023,159,4956159678
0.90023,159,4957891775
0.90023,159,4962050041
0.90023,159,4957923774
0.90023,159,4961632622
0.90023,159,4962696771
0.90023,159,4964036808
0.91034,182,5605895554
0.91034,182,5604382741
0.91034,182,5612618857
0.91034,182,5609634281
0.91034,182,5610471873
0.91034,182,5616006777
0.91034,182,5636701376
0.91034,182,5610009453
0.91034,182,5616584334
0.91034,182,5619143488
0.9202,213,6470546562
0.9202,213,6463741601
0.9202,213,6485303826
0.9202,213,6457496025
0.9202,213,6481965618
0.9202,213,6472081630
0.9202,213,6463007891
0.9202,213,6464947437
0.9202,213,6479959255
0.9202,213,6478145186
0.93012,249,7478568921
0.93012,249,7501926411
0.93012,249,7505889421
0.93012,249,7506266767
0.93012,249,7516552646
0.93012,249,7525411791
0.93012,249,7570593563
0.93012,249,7530976699
0.93012,249,7537590087
0.93012,249,7544033570
0.94023,297,8866128232
0.94023,297,8867091359
0.94023,297,8875454878
0.94023,297,8875753159
0.94023,297,8887920285
0.94023,297,8875036810
0.94023,297,8883670922
0.94023,297,8878647114
0.94023,297,8880275995
0.94023,297,8885611668
0.95003,357,10536614040
0.95003,357,10526644371
0.95003,357,10569270960
0.95003,357,10566362047
0.95003,357,10541031078
0.95003,357,10546708987
0.95003,357,10541505420
0.95003,357,10502296154
0.95003,357,10545007350
0.95003,357,10513608401
0.96009,445,12970505219
0.96009,445,12970204970
0.96009,445,12976562050
0.96009,445,12944943981
0.96009,445,12962905732
0.96009,445,12983839264
0.96009,445,12939736309
0.96009,445,12941289841
0.96009,445,12943150141
0.96009,445,12949622760
0.97006,573,16408799042
0.97006,573,16399995746
0.97006,573,16392526908
0.97006,573,16397726629
0.97006,573,16405359015
0.97006,573,16389055967
0.97006,573,16405565823
0.97006,573,16438370413
0.97006,573,16407232876
0.97006,573,16375937736
0.98004,792,22191830812
0.98004,792,22205688793
0.98004,792,22204907902
0.98004,792,22200825183
0.98004,792,22212354301
0.98004,792,22215679713
0.98004,792,22222605314
0.98004,792,22225200882
0.98004,792,22203755480
0.98004,792,22202620079
0.99001,1263,34376027997
0.99001,1263,34401152244
0.99001,1263,34415234395
0.99001,1263,34355838123
0.99001,1263,34400321632
0.99001,1263,34396100917
0.99001,1263,34388398514
0.99001,1263,34383588004
0.99001,1263,34373909385
0.99001,1263,34362296926
